City,Country,Region,Tags
# Europe (136 cities target)
London,United Kingdom,Europe,BUSINESS,LEISURE,CRUISE
Paris,France,Europe,BUSINESS,LEISURE,CRUISE
Frankfurt,Germany,Europe,BUSINESS,LEISURE
Amsterdam,Netherlands,Europe,BUSINESS,LEISURE,CRUISE
Brussels,Belgium,Europe,BUSINESS
Zurich,Switzerland,Europe,BUSINESS,LEISURE
Geneva,Switzerland,Europe,BUSINESS
Milan,Italy,Europe,BUSINESS,LEISURE
Rome,Italy,Europe,BUSINESS,LEISURE,RELIGIOUS
Venice,Italy,Europe,LEISURE,CRUISE
Florence,Italy,Europe,LEISURE
Naples,Italy,Europe,LEISURE,CRUISE,SEAMAN
Barcelona,Spain,Europe,BUSINESS,LEISURE,CRUISE
Madrid,Spain,Europe,BUSINESS,LEISURE
Valencia,Spain,Europe,LEISURE,SEAMAN
Seville,Spain,Europe,LEISURE
Granada,Spain,Europe,LEISURE
Lisbon,Portugal,Europe,BUSINESS,LEISURE,CRUISE
Porto,Portugal,Europe,LEISURE,CRUISE
Vienna,Austria,Europe,BUSINESS,LEISURE
Prague,Czech Republic,Europe,LEISURE
Budapest,Hungary,Europe,LEISURE,MEDICAL
Warsaw,Poland,Europe,BUSINESS,MEDICAL
Krakow,Poland,Europe,LEISURE,RELIGIOUS
Athens,Greece,Europe,LEISURE,CRUISE
Santorini,Greece,Europe,LEISURE,CRUISE
Mykonos,Greece,Europe,LEISURE,CRUISE
Rhodes,Greece,Europe,LEISURE,CRUISE
Crete,Greece,Europe,LEISURE,CRUISE
Dublin,Ireland,Europe,BUSINESS,LEISURE
Copenhagen,Denmark,Europe,BUSINESS,LEISURE,CRUISE
Stockholm,Sweden,Europe,BUSINESS,LEISURE,CRUISE
Oslo,Norway,Europe,BUSINESS,LEISURE,CRUISE
Bergen,Norway,Europe,LEISURE,CRUISE
Helsinki,Finland,Europe,BUSINESS,LEISURE,CRUISE
Reykjavik,Iceland,Europe,LEISURE,CRUISE
Tallinn,Estonia,Europe,LEISURE,CRUISE
Riga,Latvia,Europe,LEISURE,CRUISE
Vilnius,Lithuania,Europe,LEISURE
Moscow,Russia,Europe,BUSINESS,LEISURE
St Petersburg,Russia,Europe,LEISURE,CRUISE
Istanbul,Turkey,Europe,BUSINESS,LEISURE,SEAMAN
Ankara,Turkey,Middle East,BUSINESS
Antalya,Turkey,Middle East,LEISURE,MEDICAL
Izmir,Turkey,Middle East,MEDICAL,LEISURE,SEAMAN
Trabzon,Turkey,Middle East,RELIGIOUS,BUSINESS,SEAMAN
Konya,Turkey,Middle East,RELIGIOUS,BUSINESS
Gaziantep,Turkey,Middle East,BUSINESS,LEISURE
Bodrum,Turkey,Middle East,LEISURE,CRUISE
Fethiye,Turkey,Middle East,LEISURE,CRUISE
Split,Croatia,Europe,LEISURE,CRUISE
Dubrovnik,Croatia,Europe,LEISURE,CRUISE
Zagreb,Croatia,Europe,BUSINESS,LEISURE
Belgrade,Serbia,Europe,BUSINESS,LEISURE
Bucharest,Romania,Europe,BUSINESS,MEDICAL
Sofia,Bulgaria,Europe,BUSINESS,LEISURE
Varna,Bulgaria,Europe,LEISURE,SEAMAN
Burgas,Bulgaria,Europe,LEISURE,SEAMAN
Ljubljana,Slovenia,Europe,LEISURE
Bratislava,Slovakia,Europe,BUSINESS,LEISURE
Valletta,Malta,Europe,LEISURE,CRUISE
Nice,France,Europe,LEISURE,CRUISE
Cannes,France,Europe,LEISURE,CRUISE
Monaco,Monaco,Europe,LEISURE,CRUISE
Marseille,France,Europe,BUSINESS,SEAMAN,CRUISE
Lyon,France,Europe,BUSINESS,LEISURE
Bordeaux,France,Europe,LEISURE
